player_id,gender,country,debut_year,birth_year,birth_month,played_youth
2086,Women,Latvia,2012,1990,1,1
2092,Women,Latvia,2011,1990,11,1
2095,Women,Latvia,2019,1990,5,1
2124,Men,Lithuania,2013,1990,9,1
2231,Men,Poland,2012,1987,6,1
2240,Men,Poland,2011,1989,10,1
2304,Men,Romania,2017,1990,10,1
2307,Men,Russia,2011,1988,12,1
2312,Women,Russia,2010,1989,7,1
2314,Men,Russia,2008,1987,7,1
2326,Women,Russia,2015,1990,7,1
2331,Women,Russia,2018,1991,1,1
2341,Men,Russia,2013,1990,5,1
2357,Men,Serbia,2008,1988,8,1
2359,Women,Serbia,2010,1989,8,1
2366,Women,Serbia,2012,1991,7,1
2383,Women,Slovakia,2006,1985,7,1
2384,Women,Slovakia,2008,1986,9,1
2439,Men,Spain,2017,1988,11,1
2441,Women,Spain,2012,1990,9,1
2445,Women,Spain,2011,1990,12,1
2446,Women,Spain,2014,1991,10,1
2498,Men,Turkey,2007,1987,5,1
2504,Women,Turkey,2010,1990,11,1
2518,Men,Turkey,2015,1990,5,1
2534,Women,Ukraine,2009,1991,2,1
2539,Women,Ukraine,2011,1991,7,1
2545,Men,Ukraine,2016,1990,1,1
2607,Men,Belgium,2008,1987,4,1
2622,Women,Belgium,2009,1993,2,1
2626,Men,Belgium,2012,1991,4,1
2726,Men,Czech Republic,2011,1987,11,1
2727,Men,Czech Republic,2014,1989,11,1
2728,Men,Czech Republic,2010,1989,8,1
2742,Women,Czech Republic,2012,1991,5,1
2743,Women,Czech Republic,2017,1992,1,1
2744,Women,Czech Republic,2011,1991,5,1
2750,Women,Czech Republic,2017,1991,12,1
2844,Men,Finland,2010,1991,6,1
2856,Women,France,2015,1989,1,1
2860,Men,France,2008,1987,6,1
2873,Men,France,2013,1991,9,1
2875,Men,France,2015,1992,7,1
2896,Men,Georgia,2008,1991,10,1
2909,Men,Germany,2012,1988,11,1
2930,Women,Great Britain,2007,1987,6,1
2944,Men,Greece,2011,1990,7,1
2958,Women,Greece,2010,1993,1,1
2981,Men,Hungary,2014,1991,2,1
3032,Men,Israel,2007,1983,9,1
3059,Men,Italy,2011,1987,12,1
3060,Men,Italy,2017,1987,3,1
3078,Men,Italy,2017,1991,10,1
3086,Men,Italy,2013,1991,1,1
3100,Women,Latvia,2012,1991,6,1
3120,Men,Latvia,2010,1989,9,1
3142,Men,Lithuania,2011,1992,5,1
3152,Men,Lithuania,2013,1989,10,1
3155,Men,Montenegro,2010,1987,2,1
3158,Men,Montenegro,2009,1989,8,1
3173,Men,Montenegro,2012,1987,7,1
3177,Men,Montenegro,2014,1992,2,1
3182,Men,Montenegro,2014,1991,11,1
3188,Women,Montenegro,2015,1993,4,1
3198,Men,Montenegro,2017,1990,7,1
3380,Men,Russia,2016,1990,2,1
3385,Men,Russia,2011,1989,7,1
3421,Men,Serbia,2017,1989,1,1
3465,Men,Slovenia,2011,1991,11,1
3471,Women,Slovenia,2012,1992,10,1
3477,Men,Spain,2018,1987,5,1
3481,Women,Spain,2017,1989,12,1
3500,Women,Spain,2013,1992,4,1
3522,Women,Sweden,2012,1992,5,1
3528,Women,Sweden,2014,1993,9,1
3554,Women,Turkey,2015,1991,8,1
3555,Men,Turkey,2017,1991,8,1
3567,Men,Turkey,2012,1991,8,1
3580,Men,Ukraine,2013,1989,5,1
3596,Men,Ukraine,2011,1991,10,1
3669,Women,Belgium,2010,1993,5,1
3678,Women,Belgium,2014,1993,4,1
3703,Women,Serbia,2019,1994,4,1
3757,Men,Croatia,2017,1990,8,1
3758,Men,Croatia,2012,1990,11,1
3791,Men,Czech Republic,2017,1992,9,1
3800,Women,Czech Republic,2017,1992,3,1
3804,Men,Czech Republic,2011,1992,9,1
3805,Men,Czech Republic,2017,1992,5,1
3808,Men,Czech Republic,2016,1993,6,1
3858,Women,Great Britain,2012,1992,9,1
3862,Men,Great Britain,2011,1990,6,1
3914,Men,Finland,2012,1991,11,1
3947,Men,France,2014,1992,10,1
3950,Men,France,2013,1989,4,1
3951,Men,France,2011,1989,12,1
3954,Men,France,2019,1990,6,1
3967,Men,France,2017,1992,2,1
4020,Men,Germany,2016,1992,2,1
4024,Men,Great Britain,2008,1983,7,1
4027,Men,Great Britain,2014,1989,8,1
4046,Men,Greece,2009,1989,2,1
4066,Men,Hungary,2010,1989,3,1
4102,Men,Iceland,2012,1992,5,1
4170,Men,Israel,2015,1992,3,1
4178,Women,Italy,2012,1993,3,1
4189,Women,Italy,2012,1992,1,1
4195,Men,Italy,2013,1992,11,1
4213,Women,Latvia,2014,1991,9,1
4228,Men,Latvia,2014,1992,7,1
4230,Men,Latvia,2011,1992,11,1
4262,Men,Lithuania,2017,1992,1,1
4307,Men,Montenegro,2012,1991,10,1
4309,Men,Montenegro,2010,1990,8,1
4311,Men,Montenegro,2016,1988,5,1
4313,Men,Montenegro,2016,1988,8,1
4314,Women,Montenegro,2014,1992,5,1
4317,Women,Montenegro,2014,1993,9,1
4318,Men,Montenegro,2016,1992,4,1
4413,Men,Poland,2012,1993,11,1
4457,Men,Romania,2008,1984,11,0
4472,Men,Romania,2017,1992,8,1
4481,Women,Russia,2010,1988,7,1
4496,Women,Russia,2018,1993,8,1
4505,Men,Russia,2013,1992,7,1
4590,Women,Slovenia,2012,1992,8,1
4597,Women,Slovenia,2013,1993,11,1
4623,Women,Spain,2019,1993,5,1
4626,Women,Spain,2013,1992,11,1
4639,Women,Sweden,2014,1992,5,1
4716,Men,Turkey,2008,1983,11,0
4728,Women,Turkey,2015,1993,3,1
4729,Women,Turkey,2015,1993,7,1
4769,Men,Ukraine,2012,1992,9,1
4771,Men,Ukraine,2013,1992,4,1
4798,Women,Belarus,2013,1994,7,1
4803,Women,Belarus,2015,1993,11,1
4827,Women,Belgium,2011,1994,8,1
4838,Men,Belgium,2015,1990,7,1
4917,Men,Croatia,2012,1994,4,1
4929,Women,Czech Republic,2013,1994,1,1
4936,Women,Czech Republic,2019,1993,1,1
4953,Men,Czech Republic,2017,1993,6,1
5001,Women,Great Britain,2019,1995,9,1
5068,Women,France,2017,1991,3,1
5074,Men,France,2018,1989,12,1
5077,Women,France,2016,1993,2,1
5078,Women,France,2015,1994,4,1
5094,Men,Georgia,2013,1992,7,1
5121,Men,Germany,2016,1991,10,1
5152,Women,Greece,2009,1984,1,1
5153,Women,Greece,2009,1984,8,1
5175,Men,Greece,2016,1994,3,1
5194,Women,Hungary,2016,1993,10,1
5207,Men,Iceland,2012,1991,5,1
5263,Men,Italy,2009,1985,2,0
5279,Women,Italy,2019,1993,3,1
5280,Women,Italy,2013,1993,3,1
5321,Men,Latvia,2011,1991,3,1
5340,Men,Lithuania,2017,1990,4,1
5389,Men,Montenegro,2011,1990,10,1
5390,Men,Montenegro,2012,1994,2,1
5395,Women,Montenegro,2015,1996,1,1
5396,Women,Montenegro,2014,1994,9,1
5468,Men,Poland,2016,1992,12,1
5482,Men,Poland,2014,1993,1,1
5488,Men,Poland,2012,1993,8,1
5538,Men,Romania,2017,1993,10,1
5544,Men,Russia,2009,1986,7,0
5551,Men,Russia,2012,1993,10,1
5567,Women,Russia,2014,1993,1,1
5569,Women,Russia,2019,1994,1,1
5593,Men,Serbia,2009,1988,5,0
5603,Men,Serbia,2012,1989,6,1
5604,Men,Serbia,2014,1989,12,1
5606,Men,Serbia,2015,1989,5,1
5610,Women,Serbia,2019,1994,9,1
