category,player_id,gender,country,debut_year,birth_year,birth_month,nr_youth_years,nr_youth_championships,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20
senior,646,men,Portugal,2012,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,656,women,Portugal,2007,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,657,women,Portugal,2010,1990,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,658,women,Romania,2009,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,662,men,Romania,2009,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,665,men,Romania,2007,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,667,women,Romania,2006,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,669,women,Romania,2009,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,670,women,Romania,2008,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,672,women,Romania,2010,1990,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,682,men,Romania,2012,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,688,men,Russia,2010,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,704,women,Russia,2012,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,706,women,Serbia,2006,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,708,men,Serbia,2010,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,710,men,Serbia,2007,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,711,men,Serbia,2009,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,712,women,Serbia,2016,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,714,women,Serbia,2010,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,716,women,Serbia,2008,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,717,women,Serbia,2006,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,732,women,Slovakia,2007,1989,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,738,women,Slovenia,2011,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,741,women,Slovenia,2006,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,761,women,Slovenia,2012,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,772,women,Spain,2008,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,773,women,Spain,2008,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,774,women,Spain,2008,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,780,men,Spain,2019,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,782,men,Spain,2009,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,786,women,Spain,2015,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,787,women,Sweden,2008,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,790,women,Sweden,2006,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,791,women,Sweden,2006,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,792,women,Sweden,2007,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,793,women,Sweden,2007,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,796,women,Sweden,2010,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,797,women,Sweden,2014,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,798,women,Sweden,2010,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,799,men,Sweden,2006,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,813,men,Turkey,2008,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,814,women,Turkey,2012,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,815,women,Turkey,2006,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,823,men,Turkey,2012,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,828,women,Turkey,2008,1989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,829,women,Turkey,2007,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,833,women,Turkey,2009,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,834,women,Turkey,2010,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,835,women,Turkey,2010,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,839,women,Ukraine,2010,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,840,women,Ukraine,2008,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,843,men,Ukraine,2007,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,846,men,Ukraine,2009,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,853,men,Ukraine,2008,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,854,men,Ukraine,2007,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,857,women,Ukraine,2009,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,861,men,Albania,2006,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,879,men,Austria,2010,1990,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,897,women,Belarus,2010,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,900,women,Belgium,2013,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,908,men,Belgium,2012,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,909,men,Belgium,2011,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,920,women,Bosnia and Herzegovina,2008,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,922,women,Bosnia and Herzegovina,2008,1992,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,923,women,Bosnia and Herzegovina,2009,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,928,men,Bosnia and Herzegovina,2007,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,931,women,Bosnia and Herzegovina,2008,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,931,women,Serbia,2010,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,936,men,Bosnia and Herzegovina,2010,1990,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,939,men,Bosnia and Herzegovina,2012,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,948,women,Bulgaria,2013,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,951,women,Bulgaria,2010,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,957,women,Bulgaria,2010,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,968,women,Croatia,2009,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,970,men,Croatia,2010,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,975,women,Croatia,2014,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,992,men,Cyprus,2008,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,998,men,Cyprus,2016,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1007,women,Czech Republic,2009,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1013,women,Czech Republic,2019,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1024,men,Czech Republic,2009,1990,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1029,men,Great Britain,2014,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1034,women,Great Britain,2017,1990,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1040,men,Great Britain,2010,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1051,women,Estonia,2010,1990,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1052,women,Estonia,2009,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1053,women,Estonia,2008,1990,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1054,women,Estonia,2010,1990,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1057,men,Estonia,2009,1990,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1062,men,Estonia,2015,1990,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1064,men,Estonia,2011,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1073,women,Finland,2008,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1078,women,Finland,2011,1990,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1079,women,Finland,2008,1989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1082,men,Finland,2010,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1095,men,France,2010,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1097,women,France,2010,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1104,women,France,2013,1991,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1116,men,Georgia,2006,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1117,men,Germany,2009,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1119,women,Germany,2014,1990,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1120,women,Germany,2014,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1124,women,Germany,2012,1990,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1131,men,Germany,2010,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1132,men,Germany,2009,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1133,men,Germany,2009,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1136,men,Germany,2010,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1143,women,Greece,2019,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1146,women,Greece,2012,1990,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1150,men,Greece,2020,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1164,men,Hungary,2009,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1174,women,Hungary,2012,1989,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1182,men,Hungary,2016,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1183,men,Hungary,2010,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1186,women,Iceland,2006,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1189,women,Iceland,2009,1990,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1190,women,Iceland,2007,1990,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1192,women,Iceland,2008,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1195,women,Iceland,2008,1990,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1196,women,Iceland,2007,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1208,women,Iceland,2007,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1216,women,Ireland,2007,1990,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1217,women,Ireland,2007,1990,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1218,women,Ireland,2009,1990,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1219,women,Ireland,2009,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1237,women,Israel,2011,1990,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1243,women,Israel,2012,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1261,women,Italy,2014,1990,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1284,women,Latvia,2012,1990,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1292,men,Latvia,2010,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,1295,men,Latvia,2010,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
